Category,Skills,Count
"PeopleSoft Resumes","{'Programming Languages': ['C', 'C++', 'SQL', 'R'], 'Databases': ['DB2'], 'ERP Systems and Tools': ['PeopleSoft FSCM', 'Application Designer'], 'Integration Tools': ['Component Interface', 'File Layout']",2
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R'], 'Databases': ['Oracle 11g'], 'ERP Systems and Tools': ['PeopleSoft FSCM', 'PeopleTools', 'Change Assistant', 'Integration Broker'], 'DevOps Tools': ['Jenkins', 'Ansible'], 'Cloud Platforms': ['AWS'], 'Middleware': ['WebLogic', 'Tuxedo'], 'Domain Knowledge': ['Finance'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R'], 'Databases': ['Oracle 12c'], 'ERP Systems and Tools': ['Change Assistant', 'Integration Broker', 'Application Designer'], 'Cloud Platforms': ['AWS'], 'Middleware': ['WebLogic', 'Tuxedo'], 'Domain Knowledge': ['HCM']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'Databases': ['Oracle 10g', 'DB2'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'PeopleSoft FSCM', 'PeopleTools'], 'Reporting Tools': ['SQR'], 'Middleware': ['WebLogic', 'Tuxedo']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'C++', 'SQL', 'R'], 'Databases': ['Oracle 10g', 'DB2'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'PeopleTools', 'Change Assistant', 'Integration Broker', 'Application Designer'], 'DevOps Tools': ['Putty']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'ERP Systems and Tools': ['Change Assistant', 'Integration Broker', 'Application Designer'], 'Reporting Tools': ['SQR', 'N-Vision'], 'DevOps Tools': ['Putty'], 'Operating Systems': ['Solaris'], 'Development Tools': ['SQL Developer'], 'Project Management Tools': ['JIRA', 'Odyssey Dashboard', 'Transporter'], 'Cloud Platforms': ['AWS'], 'Middleware': ['Apache Tomcat']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'Databases': ['Oracle 11g', 'Oracle 12c'], 'ERP Systems and Tools': ['PeopleTools', 'Change Assistant', 'Integration Broker', 'Application Designer'], 'DevOps Tools': ['Filezilla'], 'Operating Systems': ['Windows Server 2008', 'Windows Server 2012 R2'], 'Development Tools': ['Toad'], 'Middleware': ['Tuxedo'], 'Domain Knowledge': ['Finance'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'XML'], 'Databases': ['Oracle 10g', 'Oracle 11g', 'Oracle 12c'], 'ERP Systems and Tools': ['PeopleSoft FSCM', 'PeopleTools', 'Change Assistant', 'Integration Broker', 'Application Designer'], 'Reporting Tools': ['SQR', 'PS Query', 'XML Publisher'], 'Web Technologies': ['XML'], 'Operating Systems': ['Windows XP', 'Solaris'], 'Cloud Platforms': ['AWS'], 'Middleware': ['WebLogic', 'Tuxedo'], 'Domain Knowledge': ['Finance'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R'], 'Databases': ['Oracle 12c'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'PeopleTools', 'PeopleSoft Update Manager (PUM)', 'Change Assistant', 'Integration Broker', 'Application Designer'], 'Operating Systems': ['Windows Server 2012 R2'], 'Middleware': ['WebLogic', 'Tuxedo']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R'], 'Databases': ['Oracle 10g', 'Oracle 12c'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'PeopleTools', 'PeopleSoft Update Manager (PUM)', 'Change Assistant', 'Integration Broker'], 'Operating Systems': ['Windows Server 2012 R2'], 'Middleware': ['Tuxedo'], 'Domain Knowledge': ['Finance'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'Databases': ['Oracle 10g', 'Oracle 11g', 'Oracle 12c'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'PeopleTools', 'PeopleSoft Update Manager (PUM)', 'Change Assistant', 'Integration Broker', 'Application Designer'], 'Operating Systems': ['Windows Server 2008', 'Windows Server 2012 R2'], 'Middleware': ['WebLogic', 'Tuxedo']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R'], 'Databases': ['Oracle 10g', 'Oracle 12c'], 'ERP Systems and Tools': ['PeopleSoft HRMS', 'PeopleTools', 'PeopleSoft Update Manager (PUM)', 'Change Assistant', 'Integration Broker', 'Application Designer'], 'Operating Systems': ['Windows Server 2012 R2'], 'Middleware': ['WebLogic', 'Tuxedo']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'PeopleCode', 'XML'], 'Databases': ['Oracle 11g', 'Oracle 12c'], 'ERP Systems and Tools': ['PeopleSoft FSCM', 'PeopleTools', 'Integration Broker', 'Application Designer'], 'Reporting Tools': ['SQR', 'PS Query', 'BI Publisher'], 'Web Technologies': ['XML'], 'Development Tools': ['PeopleSoft Application Designer'], 'Integration Tools': ['File Layout'], 'Domain Knowledge': ['HCM', 'Retail'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'Python', 'PeopleCode', 'XML'], 'Databases': ['DB2'], 'ERP Systems and Tools': ['PeopleSoft HRMS'], 'Reporting Tools': ['SQR', 'PS Query', 'BI Publisher'], 'Web Technologies': ['XML'], 'Operating Systems': ['Mac OS'], 'Development Tools': ['SQL Developer', 'Tectia Client'], 'Integration Tools': ['Component Interface', 'File Layout'], 'Project Management Tools': ['JIRA', 'ServiceNow'], 'Domain Knowledge': ['Finance'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R', 'PeopleCode', 'XML'], 'Databases': ['Oracle 11g', 'Oracle 12c', 'DB2'], 'ERP Systems and Tools': ['PeopleTools', 'Integration Broker', 'Application Designer'], 'Reporting Tools': ['SQR', 'PS Query', 'XML Publisher'], 'Web Technologies': ['XML'], 'Operating Systems': ['Windows 7', 'Windows 10'], 'Integration Tools': ['Component Interface', 'File Layout'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'ERP Systems and Tools': ['PeopleSoft FSCM', 'Application Designer'], 'Reporting Tools': ['PS Query', 'Crystal Reports'], 'Development Tools': ['SQL Developer']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'R', 'XML'], 'ERP Systems and Tools': ['PeopleSoft FSCM', 'PeopleTools', 'Application Designer'], 'Reporting Tools': ['PS Query', 'XML Publisher'], 'Web Technologies': ['XML'], 'Integration Tools': ['Component Interface'",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'ERP Systems and Tools': ['PeopleSoft FSCM'], 'Reporting Tools': ['PS Query'], 'Development Tools': ['SQL Developer']",1
"PeopleSoft Resumes","{'Programming Languages': ['C', 'SQL', 'R'], 'ERP Systems and Tools': ['Application Designer'], 'Reporting Tools': ['Power BI']",1
"React JS Developer Resumes","{'Programming Languages': ['C', 'R', 'HTML', 'CSS', 'Bootstrap']",5
"React JS Developer Resumes","{'Programming Languages': ['C', 'SQL', 'R', 'HTML', 'CSS'",3
"React JS Developer Resumes","{'Programming Languages': ['C', 'SAS', 'R', 'HTML', 'CSS'",2
